"Date and Time,""Merchant ID"",""Merchant Name"",""Transaction Type"",""Payment Channel"",""Ayolinx Transaction ID"",""Partner Refference Number"",""Transaction Amount"",""Admin Fee"",""VAT Type"",VAT(11%),""Transaction Settled"",""Transaction Status"",""Settlement Status"",""Merchant Transaction ID"",""Merchant Refference Number"",""Shop ID"",""Settlement Type"",""Create Time"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",aa8b5e5403df49cca3019f95fc740de5,000303770235,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443423583561731847617832,MLyCzHAVhSDwZRecgmQ2fdxPiUvquF89G7YksKTNb4BntrJW3pXjo4WQMaQ4Usqf,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",7ce550c7c7ad429b9af8bf72da5d4e0d,1p84c0e58088,25000.00000000,157.70000000,Include,17.300000,24825,Success,Settled,PAYIN45443433102115226518562644,rvxSFiH5wCPkMj3gaQLzhRXDY9qpfm2A8K7cebus64ETZVNUWGyJB4WQMaQFc2y7,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",49c7f7cb6f424f9bb94b3b5e18d4f37b,000303770267,100000.00000000,630.60000000,Include,69.400000,99300,Success,Settled,PAYIN45443415062413727998404397,gByKZPS895Qvtmu3kpCxnWijRqrDwGT2hEb7XLNMsaeAfHJYUzoVF4WQMaQHbHei,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",38f41922d92c4f7a8d1df3d1d2e4307e,1p84brq97327,20000.00000000,126.10000000,Include,13.900000,19860,Success,Settled,PAYIN45443426470920613412428139,4cKUMGCJ2wNzQaokZPSHdbpFxnYfr3BjvAWs8eyhTuXREDq96Vt5i4WQMaQHyvLr,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c53f67010ec849c4b7315cb2196352ec,1p84b0m56489,10000.00000000,63.10000000,Include,6.900000,9930,Success,Settled,PAYIN45443430061664261543716315,dtZibEXgz4wjnp58DrkTAxKhoLFQRf6vYyNUHGmJ92S7Vq3aeWsPu4WQMaQNkhUi,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",bb0f455b504147f4bc5a41be8be590cf,1p84b0u16738,29000.00000000,182.90000000,Include,20.100000,28797,Success,Settled,PAYIN45443424898056611835173694,sSveyijTzxmoPrJ645YBDd9LgKAMqcEpZwVH2h3FU8QfkGnRuWXat4WQMaQPwemC,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",4b32896b87aa47f6a49e13353348af12,1p84brq97329,25000.00000000,157.70000000,Include,17.300000,24825,Success,Settled,PAYIN45443430959245319996249670,caXx7bDv2CrYBzoSmQT6gfRZdL83juinwWGs4eMJq9FKhUypPE5Vt4WQMaRCFZ7K,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",876640a23b624911b56fb168d23a54da,1p84b0m56493,40000.00000000,252.30000000,Include,27.700000,39720,Success,Settled,PAYIN45443434508884792906376777,kFU5n8PG7QDSuCypjgYX9Bbs6MHVZrtoazJKhWmANc4xwdfvLT2Ei4WQMaRHQyxF,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",fa744f047bc54f6da738eda64f15ec63,1p84b0t19500,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443431860181820816831192,bxpZrhvMWUoAufjgHN8Ct9ywzaGsn3PdV6EYRX7i5ceB2SFLDQTm44WQMaRQxJbx,,Sameday,""2026-06-08 00:00:05"""
"08-06-2026 00:00:05,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",b04bd0f180cd427381cb5e933ae2ec16,000303770352,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443421970851851837743974,AUZG8PH4eC3TbsFVc2LKmN6w7XuMoYziQtSdjaDqryEh9JWvp5Bgn4WQMaReULPX,,Sameday,""2026-06-08 00:00:05"""
